timestamp,time,mac_address,rssi,tx_power,rawX,rawY,pos_z,position_calculation_timestamp,position_calculation_status,markers_info,expectedX,expectedY,errorX,errorY,euclideanError
1764640585952,2025-12-02 10:56:25.952,AC:23:3F:26:3E:EF,-75,127,0.7172882378411849,26.48564755392919,1.4262929672924294,1764640585952,calculated,,0.6385168579045546,26.28209220381938,0.0787713799366303,0.2035553501098093,0.2182652305234345
1764640586095,2025-12-02 10:56:26.095,AC:23:3F:26:3E:EF,-74,127,0.7221042175465668,26.43911356841651,1.4240039878115958,1764640586095,calculated,,0.6386747018054435,26.23178369973413,0.08342951574112334,0.20732986868237901,0.22348637216763548
1764640586288,2025-12-02 10:56:26.288,68:9E:19:03:95:84,-91,127,0.7215386294166801,26.43911356841651,1.4240039878115958,1764640586288,calculated,,0.6388877358814683,26.163884809605086,0.08265089353521182,0.27522875881142284,0.287370909938785
1764640586458,2025-12-02 10:56:26.458,AC:23:3F:26:3E:F1,-62,127,0.6812341388712841,26.22791708559966,1.4299900278350102,1764640586458,calculated,,0.6390753824769305,26.10407749705619,0.042158756394353625,0.12383958854347199,0.13081897580754442
1764640586636,2025-12-02 10:56:26.636,68:9E:19:03:95:F1,-81,127,0.6764667129510706,26.2143082956654,1.4307251328553297,1764640586636,calculated,,0.6392718595004145,26.04145572274028,0.037194853450656096,0.17285257292511957,0.17680913180616425
1764640586763,2025-12-02 10:56:26.763,AC:23:3F:26:3E:EF,-72,127,0.6687148654135491,26.147752376929205,1.425824935972622,1764640586763,calculated,,0.6394120425452599,25.996776142189045,0.029302822868289224,0.15097623474015975,0.153793624329379
1764640586908,2025-12-02 10:56:26.908,AC:23:3F:26:3E:F1,-70,127,0.6633349562816224,26.130158216735,1.427028139894846,1764640586908,calculated,,0.6395720940531541,25.94576402266204,0.02376286222846835,0.18439419407296143,0.18591904805346368
1764640587002,2025-12-02 10:56:27.002,AC:23:3F:26:3E:F2,-72,127,0.6720353464734423,26.07133965567353,1.427028139894846,1764640587002,calculated,,0.6396758515824097,25.91269409689971,0.032359494891032625,0.15864555877382003,0.1619121682526065
1764640587184,2025-12-02 10:56:27.184,AC:23:3F:26:3E:F1,-62,127,0.6726297039753459,26.00192308128804,1.427028139894846,1764640587184,calculated,,0.6398767438199046,25.848665091700298,0.03275296015544138,0.15325798958774328,0.15671875373234934
1764640587338,2025-12-02 10:56:27.338,68:9E:19:03:95:F1,-75,127,0.7175883013530446,25.919568654469817,1.427028139894846,1764640587338,calculated,,0.6400467295593233,25.794486702685415,0.07754157179372134,0.12508195178440218,0.14716721787964993
1764640587449,2025-12-02 10:56:27.449,68:9E:19:03:95:F1,-74,127,0.7201734931652923,25.862789735812857,1.4283436245472834,1764640587449,calculated,,0.6401692517481251,25.75543604566819,0.08000424141716722,0.10735369014466656,0.13388612113439335
1764640587623,2025-12-02 10:56:27.623,AC:23:3F:26:3E:F1,-63,127,0.7252608908959104,25.80181209135781,1.4263756649833372,1764640587623,calculated,,0.6403613135575982,25.694221502235788,0.08489957733831222,0.10759058912202235,0.13705354099711503
