timestamp;execution_id;video;multipleMarkersBehaviour;amountMarkersEmployed;sampleSpaceMillis;RT_ransac_threshold;kalmanQ;kalmanR;realX;realY;realZ;rawX;rawY;rawZ;kalmanX;kalmanY;kalmanZ;errorX;errorY;errorZ;euclideanError;euclideanError3d;markers_info;;alpha;ti;tf;xi;yi;xf;yf
457;1748330475944;v1;CLOSEST;1;0;0;0,0001;0,01;3,63550666666667;0,697125403508772;1,355;3,7692673;0,7614276;1,4043618;0;0;0;0,133760633333333;0,0643021964912282;0,0493618;0,148413879079182;0,156407374514663;[PositionFromMarker(markerId=5, x=3.7692672149412045, y=0.7614276064727843, z=1.4043617894888785, distance=2.885395703510661)];;0,0320701754385965;0;14250;3,733;0,691;0,693;0,882
457;1748330475944;v1;WEIGHTED_AVERAGE;3;0;0;0,0001;0,01;3,63550666666667;0,697125403508772;1,355;3,7333639;0,7767609;1,3395447;0;0;0;0,0978572333333334;0,0796354964912281;0,0154553;0,126165963782068;0,127109074086582;[PositionFromMarker(markerId=3, x=3.7045713898635007, y=0.601510576072665, z=1.136780745160712, distance=3.7619471251690024), PositionFromMarker(markerId=27, x=3.7017523690365177, y=0.9741585497288942, z=1.4303266989571362, distance=3.7251679565285905), PositionFromMarker(markerId=5, x=3.7692672149412045, y=0.7614276064727843, z=1.4043617894888785, distance=2.885395703510661)];;0,0320701754385965;0;14250;3,733;0,691;0,693;0,882
457;1748330475944;v1;AVERAGE;3;0;0;0,0001;0,01;3,63550666666667;0,697125403508772;1,355;3,725197;0,77903223;1,3238231;0;0;0;0,0896903333333334;0,0819068264912282;0,0311769;0,121462274469516;0,125399693831038;[PositionFromMarker(markerId=3, x=3.7045713898635007, y=0.601510576072665, z=1.136780745160712, distance=3.7619471251690024), PositionFromMarker(markerId=27, x=3.7017523690365177, y=0.9741585497288942, z=1.4303266989571362, distance=3.7251679565285905), PositionFromMarker(markerId=5, x=3.7692672149412045, y=0.7614276064727843, z=1.4043617894888785, distance=2.885395703510661)];;0,0320701754385965;0;14250;3,733;0,691;0,693;0,882
457;1748330475944;v1;WEIGHTED_MEDIAN;3;0;0;0,0001;0,01;3,63550666666667;0,697125403508772;1,355;3,7045715;0,7614276;1,4043618;0;0;0;0,0690648333333335;0,0643021964912282;0,0493618;0,0943648434373583;0,106495591346295;[PositionFromMarker(markerId=3, x=3.7045713898635007, y=0.601510576072665, z=1.136780745160712, distance=3.7619471251690024), PositionFromMarker(markerId=27, x=3.7017523690365177, y=0.9741585497288942, z=1.4303266989571362, distance=3.7251679565285905), PositionFromMarker(markerId=5, x=3.7692672149412045, y=0.7614276064727843, z=1.4043617894888785, distance=2.885395703510661)];;0,0320701754385965;0;14250;3,733;0,691;0,693;0,882
457;1748330475944;v1;MEDIAN;3;0;0;0,0001;0,01;3,63550666666667;0,697125403508772;1,355;3,7045715;0,7614276;1,4043618;0;0;0;0,0690648333333335;0,0643021964912282;0,0493618;0,0943648434373583;0,106495591346295;[PositionFromMarker(markerId=3, x=3.7045713898635007, y=0.601510576072665, z=1.136780745160712, distance=3.7619471251690024), PositionFromMarker(markerId=27, x=3.7017523690365177, y=0.9741585497288942, z=1.4303266989571362, distance=3.7251679565285905), PositionFromMarker(markerId=5, x=3.7692672149412045, y=0.7614276064727843, z=1.4043617894888785, distance=2.885395703510661)];;0,0320701754385965;0;14250;3,733;0,691;0,693;0,882
509;1748330475944;v1;CLOSEST;1;0;0;0,0001;0,01;3,62441333333333;0,697822385964912;1,355;3,7880177;0,8083845;1,4087167;0;0;0;0,163604366666667;0,110562114035088;0,0537167000000001;0,197459793001791;0,204635905234639;[PositionFromMarker(markerId=5, x=3.7880176700762282, y=0.8083844903287656, z=1.4087166593989768, distance=2.887257483983284)];;0,035719298245614;0;14250;3,733;0,691;0,693;0,882
509;1748330475944;v1;WEIGHTED_AVERAGE;3;0;0;0,0001;0,01;3,62441333333333;0,697822385964912;1,355;3,753264;0,82096034;1,4975258;0;0;0;0,128850666666667;0,123137954035088;0,1425258;0,178228645353077;0,228208355872507;[PositionFromMarker(markerId=3, x=3.731699335084155, y=1.4366267891362654, z=1.8840416174748085, distance=3.7626495725629803), PositionFromMarker(markerId=27, x=3.716291124617449, y=0.23435139251025017, z=1.2648889366379286, distance=3.7381956687135016), PositionFromMarker(markerId=5, x=3.7880176700762282, y=0.8083844903287656, z=1.4087166593989768, distance=2.887257483983284)];;0,035719298245614;0;14250;3,733;0,691;0,693;0,882
509;1748330475944;v1;AVERAGE;3;0;0;0,0001;0,01;3,62441333333333;0,697822385964912;1,355;3,745336;0,8264542;1,5192157;0;0;0;0,120922666666667;0,128631814035088;0,1642157;0,176545843609347;0,241112486242886;[PositionFromMarker(markerId=3, x=3.731699335084155, y=1.4366267891362654, z=1.8840416174748085, distance=3.7626495725629803), PositionFromMarker(markerId=27, x=3.716291124617449, y=0.23435139251025017, z=1.2648889366379286, distance=3.7381956687135016), PositionFromMarker(markerId=5, x=3.7880176700762282, y=0.8083844903287656, z=1.4087166593989768, distance=2.887257483983284)];;0,035719298245614;0;14250;3,733;0,691;0,693;0,882
509;1748330475944;v1;WEIGHTED_MEDIAN;3;0;0;0,0001;0,01;3,62441333333333;0,697822385964912;1,355;3,7316992;0,8083845;1,4087167;0;0;0;0,107285866666667;0,110562114035088;0,0537167000000001;0,154059203705349;0,16315551509286;[PositionFromMarker(markerId=3, x=3.731699335084155, y=1.4366267891362654, z=1.8840416174748085, distance=3.7626495725629803), PositionFromMarker(markerId=27, x=3.716291124617449, y=0.23435139251025017, z=1.2648889366379286, distance=3.7381956687135016), PositionFromMarker(markerId=5, x=3.7880176700762282, y=0.8083844903287656, z=1.4087166593989768, distance=2.887257483983284)];;0,035719298245614;0;14250;3,733;0,691;0,693;0,882
509;1748330475944;v1;MEDIAN;3;0;0;0,0001;0,01;3,62441333333333;0,697822385964912;1,355;3,7316992;0,8083845;1,4087167;0;0;0;0,107285866666667;0,110562114035088;0,0537167000000001;0,154059203705349;0,16315551509286;[PositionFromMarker(markerId=3, x=3.731699335084155, y=1.4366267891362654, z=1.8840416174748085, distance=3.7626495725629803), PositionFromMarker(markerId=27, x=3.716291124617449, y=0.23435139251025017, z=1.2648889366379286, distance=3.7381956687135016), PositionFromMarker(markerId=5, x=3.7880176700762282, y=0.8083844903287656, z=1.4087166593989768, distance=2.887257483983284)];;0,035719298245614;0;14250;3,733;0,691;0,693;0,882
565;1748330475944;v1;CLOSEST;1;0;0;0,0001;0,01;3,61246666666667;0,69857298245614;1,355;3,7662303;0,7636363;1,3921015;0;0;0;0,153763633333333;0,0650633175438597;0,0371015000000001;0,166962541384827;0,171035117820669;[PositionFromMarker(markerId=5, x=3.766230403110775, y=0.7636363005005622, z=1.3921015768501093, distance=2.8839830660971852)];;0,0396491228070175;0;14250;3,733;0,691;0,693;0,882
565;1748330475944;v1;WEIGHTED_AVERAGE;3;0;0;0,0001;0,01;3,61246666666667;0,69857298245614;1,355;3,7294395;0,6362621;1,2667416;0;0;0;0,116972833333333;0,0623108824561403;0,0882584;0,132534108102367;0,159232016193509;[PositionFromMarker(markerId=3, x=3.6685588392245014, y=0.424548652155057, z=1.2209543700739183, distance=3.749224254115252), PositionFromMarker(markerId=27, x=3.7281415420138666, y=0.6327062925806253, z=1.100585841202717, distance=3.750123996817336), PositionFromMarker(markerId=5, x=3.766230403110775, y=0.7636363005005622, z=1.3921015768501093, distance=2.8839830660971852)];;0,0396491228070175;0;14250;3,733;0,691;0,693;0,882
565;1748330475944;v1;AVERAGE;3;0;0;0,0001;0,01;3,61246666666667;0,69857298245614;1,355;3,7209768;0,60696375;1,2378806;0;0;0;0,108510133333333;0,0916092324561403;0,1171194;0,142009508509889;0,184075132387784;[PositionFromMarker(markerId=3, x=3.6685588392245014, y=0.424548652155057, z=1.2209543700739183, distance=3.749224254115252), PositionFromMarker(markerId=27, x=3.7281415420138666, y=0.6327062925806253, z=1.100585841202717, distance=3.750123996817336), PositionFromMarker(markerId=5, x=3.766230403110775, y=0.7636363005005622, z=1.3921015768501093, distance=2.8839830660971852)];;0,0396491228070175;0;14250;3,733;0,691;0,693;0,882
565;1748330475944;v1;WEIGHTED_MEDIAN;3;0;0;0,0001;0,01;3,61246666666667;0,69857298245614;1,355;3,7281415;0,6327063;1,2209544;0;0;0;0,115674833333333;0,0658666824561403;0,1340456;0,133113060683284;0,188910851471883;[PositionFromMarker(markerId=3, x=3.6685588392245014, y=0.424548652155057, z=1.2209543700739183, distance=3.749224254115252), PositionFromMarker(markerId=27, x=3.7281415420138666, y=0.6327062925806253, z=1.100585841202717, distance=3.750123996817336), PositionFromMarker(markerId=5, x=3.766230403110775, y=0.7636363005005622, z=1.3921015768501093, distance=2.8839830660971852)];;0,0396491228070175;0;14250;3,733;0,691;0,693;0,882
565;1748330475944;v1;MEDIAN;3;0;0;0,0001;0,01;3,61246666666667;0,69857298245614;1,355;3,7281415;0,6327063;1,2209544;0;0;0;0,115674833333333;0,0658666824561403;0,1340456;0,133113060683284;0,188910851471883;[PositionFromMarker(markerId=3, x=3.6685588392245014, y=0.424548652155057, z=1.2209543700739183, distance=3.749224254115252), PositionFromMarker(markerId=27, x=3.7281415420138666, y=0.6327062925806253, z=1.100585841202717, distance=3.750123996817336), PositionFromMarker(markerId=5, x=3.766230403110775, y=0.7636363005005622, z=1.3921015768501093, distance=2.8839830660971852)];;0,0396491228070175;0;14250;3,733;0,691;0,693;0,882
619;1748330475944;v1;CLOSEST;1;0;0;0,0001;0,01;3,60094666666667;0,699296771929825;1,355;3,7393014;0,72609806;1,3953913;0;0;0;0,138354733333333;0,0268012880701755;0,0403913;0,140926723079611;0,146600813072941;[PositionFromMarker(markerId=5, x=3.7393014967862057, y=0.7260980329128826, z=1.3953913503426936, distance=2.8709085444173317)];;0,0434385964912281;0;14250;3,733;0,691;0,693;0,882
619;1748330475944;v1;WEIGHTED_AVERAGE;3;0;0;0,0001;0,01;3,60094666666667;0,699296771929825;1,355;3,7192426;0,82359326;1,6480743;0;0;0;0,118295933333333;0,124296488070175;0,2930743;0,171591214197531;0,339611675462244;[PositionFromMarker(markerId=3, x=3.7032256651911575, y=1.6501072945402142, z=1.926282965174713, distance=3.761611573548437), PositionFromMarker(markerId=27, x=3.701096232111473, y=0.17422090614912827, z=1.8013557369913964, distance=3.7336413595243103), PositionFromMarker(markerId=5, x=3.7393014967862057, y=0.7260980329128826, z=1.3953913503426936, distance=2.8709085444173317)];;0,0434385964912281;0;14250;3,733;0,691;0,693;0,882
